Running GRASP algorithm...
Running with 31 threads (Available processors: 31).
Seconds: 1, Total Iterations: 100, Iteration per second: 100.000000, Best solution: 386483 found at 1s
Seconds: 9, Total Iterations: 7500, Iteration per second: 833.333333, Best solution: 388795 found at 6s
Seconds: 9, Total Iterations: 7600, Iteration per second: 844.444444, Best solution: 388795 found at 6s
Seconds: 9, Total Iterations: 7700, Iteration per second: 855.555556, Best solution: 388795 found at 6s
Seconds: 9, Total Iterations: 7800, Iteration per second: 866.666667, Best solution: 388795 found at 6s
Seconds: 9, Total Iterations: 7900, Iteration per second: 877.777778, Best solution: 388795 found at 6s
Seconds: 9, Total Iterations: 8000, Iteration per second: 888.888889, Best solution: 388795 found at 6s
Seconds: 9, Total Iterations: 8100, Iteration per second: 900.000000, Best solution: 388795 found at 6s
Seconds: 9, Total Iterations: 8200, Iteration per second: 911.111111, Best solution: 388795 found at 6s
Seconds: 9, Total Iterations: 8300, Iteration per second: 922.222222, Best solution: 388795 found at 6s
Seconds: 9, Total Iterations: 8400, Iteration per second: 933.333333, Best solution: 388795 found at 6s
Seconds: 10, Total Iterations: 8500, Iteration per second: 850.000000, Best solution: 388795 found at 6s
Seconds: 10, Total Iterations: 8600, Iteration per second: 860.000000, Best solution: 388795 found at 6s
Seconds: 10, Total Iterations: 8700, Iteration per second: 870.000000, Best solution: 388795 found at 6s
Seconds: 10, Total Iterations: 8800, Iteration per second: 880.000000, Best solution: 388795 found at 6s
Seconds: 10, Total Iterations: 8900, Iteration per second: 890.000000, Best solution: 388795 found at 6s
Seconds: 10, Total Iterations: 9000, Iteration per second: 900.000000, Best solution: 388795 found at 6s
Seconds: 10, Total Iterations: 9100, Iteration per second: 910.000000, Best solution: 388795 found at 6s
Seconds: 10, Total Iterations: 9200, Iteration per second: 920.000000, Best solution: 388795 found at 6s
Seconds: 10, Total Iterations: 9300, Iteration per second: 930.000000, Best solution: 388795 found at 6s
Seconds: 10, Total Iterations: 9400, Iteration per second: 940.000000, Best solution: 388795 found at 6s
Seconds: 10, Total Iterations: 9500, Iteration per second: 950.000000, Best solution: 388795 found at 6s
Seconds: 11, Total Iterations: 9600, Iteration per second: 872.727273, Best solution: 388795 found at 6s
Seconds: 11, Total Iterations: 9700, Iteration per second: 881.818182, Best solution: 388795 found at 6s
Seconds: 11, Total Iterations: 9800, Iteration per second: 890.909091, Best solution: 388795 found at 6s
Seconds: 11, Total Iterations: 9900, Iteration per second: 900.000000, Best solution: 388795 found at 6s
Seconds: 11, Total Iterations: 10000, Iteration per second: 909.090909, Best solution: 388795 found at 6s
Seconds: 11, Total Iterations: 10100, Iteration per second: 918.181818, Best solution: 388795 found at 6s
Seconds: 11, Total Iterations: 10200, Iteration per second: 927.272727, Best solution: 388795 found at 6s
Seconds: 11, Total Iterations: 10300, Iteration per second: 936.363636, Best solution: 388795 found at 6s
Seconds: 11, Total Iterations: 10400, Iteration per second: 945.454545, Best solution: 388795 found at 6s
Seconds: 11, Total Iterations: 10500, Iteration per second: 954.545455, Best solution: 388795 found at 6s
Seconds: 11, Total Iterations: 10600, Iteration per second: 963.636364, Best solution: 388795 found at 6s
Seconds: 11, Total Iterations: 10700, Iteration per second: 972.727273, Best solution: 388795 found at 6s
Seconds: 12, Total Iterations: 10800, Iteration per second: 900.000000, Best solution: 388795 found at 6s
Seconds: 12, Total Iterations: 10900, Iteration per second: 908.333333, Best solution: 388795 found at 6s
Seconds: 12, Total Iterations: 11000, Iteration per second: 916.666667, Best solution: 388795 found at 6s
Seconds: 12, Total Iterations: 11100, Iteration per second: 925.000000, Best solution: 388795 found at 6s
Seconds: 12, Total Iterations: 11200, Iteration per second: 933.333333, Best solution: 388795 found at 6s
Seconds: 12, Total Iterations: 11300, Iteration per second: 941.666667, Best solution: 388795 found at 6s
Seconds: 12, Total Iterations: 11400, Iteration per second: 950.000000, Best solution: 388803 found at 12s
Seconds: 12, Total Iterations: 11500, Iteration per second: 958.333333, Best solution: 388803 found at 12s
Seconds: 12, Total Iterations: 11600, Iteration per second: 966.666667, Best solution: 388803 found at 12s
Seconds: 12, Total Iterations: 11700, Iteration per second: 975.000000, Best solution: 388803 found at 12s
Seconds: 13, Total Iterations: 11800, Iteration per second: 907.692308, Best solution: 388803 found at 12s
Seconds: 13, Total Iterations: 11900, Iteration per second: 915.384615, Best solution: 388803 found at 12s
Seconds: 13, Total Iterations: 12000, Iteration per second: 923.076923, Best solution: 388803 found at 12s
Seconds: 13, Total Iterations: 12100, Iteration per second: 930.769231, Best solution: 388803 found at 12s
Seconds: 13, Total Iterations: 12200, Iteration per second: 938.461538, Best solution: 388803 found at 12s
Seconds: 13, Total Iterations: 12300, Iteration per second: 946.153846, Best solution: 388803 found at 12s
Seconds: 13, Total Iterations: 12400, Iteration per second: 953.846154, Best solution: 388803 found at 12s
Seconds: 13, Total Iterations: 12500, Iteration per second: 961.538462, Best solution: 388803 found at 12s
Seconds: 13, Total Iterations: 12600, Iteration per second: 969.230769, Best solution: 388803 found at 12s
Seconds: 13, Total Iterations: 12700, Iteration per second: 976.923077, Best solution: 388803 found at 12s
Seconds: 13, Total Iterations: 12800, Iteration per second: 984.615385, Best solution: 388803 found at 12s
Seconds: 13, Total Iterations: 12900, Iteration per second: 992.307692, Best solution: 388803 found at 12s
Seconds: 14, Total Iterations: 13000, Iteration per second: 928.571429, Best solution: 388803 found at 12s
Seconds: 14, Total Iterations: 13100, Iteration per second: 935.714286, Best solution: 388803 found at 12s
Seconds: 14, Total Iterations: 13200, Iteration per second: 942.857143, Best solution: 388803 found at 12s
Seconds: 14, Total Iterations: 13300, Iteration per second: 950.000000, Best solution: 388803 found at 12s
Seconds: 14, Total Iterations: 13400, Iteration per second: 957.142857, Best solution: 388803 found at 12s
Seconds: 14, Total Iterations: 13500, Iteration per second: 964.285714, Best solution: 388803 found at 12s
Seconds: 14, Total Iterations: 13600, Iteration per second: 971.428571, Best solution: 388803 found at 12s
Seconds: 14, Total Iterations: 13700, Iteration per second: 978.571429, Best solution: 388803 found at 12s
Seconds: 14, Total Iterations: 13800, Iteration per second: 985.714286, Best solution: 388803 found at 12s
Seconds: 14, Total Iterations: 13900, Iteration per second: 992.857143, Best solution: 388803 found at 12s
Seconds: 14, Total Iterations: 14000, Iteration per second: 1000.000000, Best solution: 388803 found at 12s
Seconds: 15, Total Iterations: 14100, Iteration per second: 940.000000, Best solution: 388803 found at 12s
Seconds: 15, Total Iterations: 14200, Iteration per second: 946.666667, Best solution: 388804 found at 15s
Seconds: 15, Total Iterations: 14300, Iteration per second: 953.333333, Best solution: 388804 found at 15s
Seconds: 15, Total Iterations: 14400, Iteration per second: 960.000000, Best solution: 388804 found at 15s
Seconds: 15, Total Iterations: 14500, Iteration per second: 966.666667, Best solution: 388804 found at 15s
Seconds: 15, Total Iterations: 14600, Iteration per second: 973.333333, Best solution: 388804 found at 15s
Seconds: 15, Total Iterations: 14700, Iteration per second: 980.000000, Best solution: 388804 found at 15s
Seconds: 15, Total Iterations: 14800, Iteration per second: 986.666667, Best solution: 388804 found at 15s
Seconds: 15, Total Iterations: 14900, Iteration per second: 993.333333, Best solution: 388807 found at 15s
Seconds: 15, Total Iterations: 15000, Iteration per second: 1000.000000, Best solution: 388807 found at 15s
Seconds: 15, Total Iterations: 15100, Iteration per second: 1006.666667, Best solution: 388807 found at 15s
Seconds: 16, Total Iterations: 15200, Iteration per second: 950.000000, Best solution: 388807 found at 15s
Seconds: 16, Total Iterations: 15300, Iteration per second: 956.250000, Best solution: 388807 found at 15s
Seconds: 16, Total Iterations: 15400, Iteration per second: 962.500000, Best solution: 388807 found at 15s
Seconds: 16, Total Iterations: 15500, Iteration per second: 968.750000, Best solution: 388807 found at 15s
Seconds: 16, Total Iterations: 15600, Iteration per second: 975.000000, Best solution: 388807 found at 15s
Seconds: 16, Total Iterations: 15700, Iteration per second: 981.250000, Best solution: 388807 found at 15s
Seconds: 16, Total Iterations: 15800, Iteration per second: 987.500000, Best solution: 388807 found at 15s
Seconds: 16, Total Iterations: 15900, Iteration per second: 993.750000, Best solution: 388807 found at 15s
Seconds: 16, Total Iterations: 16000, Iteration per second: 1000.000000, Best solution: 388807 found at 15s
Seconds: 16, Total Iterations: 16100, Iteration per second: 1006.250000, Best solution: 388807 found at 15s
Seconds: 16, Total Iterations: 16200, Iteration per second: 1012.500000, Best solution: 388807 found at 15s
Seconds: 16, Total Iterations: 16300, Iteration per second: 1018.750000, Best solution: 388807 found at 15s
Seconds: 17, Total Iterations: 16400, Iteration per second: 964.705882, Best solution: 388807 found at 15s
Seconds: 17, Total Iterations: 16500, Iteration per second: 970.588235, Best solution: 388807 found at 15s
Seconds: 17, Total Iterations: 16600, Iteration per second: 976.470588, Best solution: 388808 found at 17s
Seconds: 17, Total Iterations: 16700, Iteration per second: 982.352941, Best solution: 388808 found at 17s
Seconds: 17, Total Iterations: 16800, Iteration per second: 988.235294, Best solution: 388808 found at 17s
Seconds: 17, Total Iterations: 16900, Iteration per second: 994.117647, Best solution: 388808 found at 17s
Seconds: 17, Total Iterations: 17000, Iteration per second: 1000.000000, Best solution: 388808 found at 17s
Seconds: 17, Total Iterations: 17100, Iteration per second: 1005.882353, Best solution: 388808 found at 17s
Seconds: 17, Total Iterations: 17200, Iteration per second: 1011.764706, Best solution: 388808 found at 17s
Seconds: 17, Total Iterations: 17300, Iteration per second: 1017.647059, Best solution: 388808 found at 17s
Seconds: 17, Total Iterations: 17400, Iteration per second: 1023.529412, Best solution: 388808 found at 17s
Seconds: 18, Total Iterations: 17500, Iteration per second: 972.222222, Best solution: 388808 found at 17s
Seconds: 18, Total Iterations: 17600, Iteration per second: 977.777778, Best solution: 388808 found at 17s
Seconds: 18, Total Iterations: 17700, Iteration per second: 983.333333, Best solution: 388808 found at 17s
Seconds: 18, Total Iterations: 17800, Iteration per second: 988.888889, Best solution: 388808 found at 17s
Seconds: 18, Total Iterations: 17900, Iteration per second: 994.444444, Best solution: 388808 found at 17s
Seconds: 18, Total Iterations: 18000, Iteration per second: 1000.000000, Best solution: 388808 found at 17s
Seconds: 18, Total Iterations: 18100, Iteration per second: 1005.555556, Best solution: 388808 found at 17s
Seconds: 18, Total Iterations: 18200, Iteration per second: 1011.111111, Best solution: 388808 found at 17s
Seconds: 18, Total Iterations: 18300, Iteration per second: 1016.666667, Best solution: 388808 found at 17s
Seconds: 18, Total Iterations: 18400, Iteration per second: 1022.222222, Best solution: 388808 found at 17s
Seconds: 18, Total Iterations: 18500, Iteration per second: 1027.777778, Best solution: 388808 found at 17s
Seconds: 19, Total Iterations: 18600, Iteration per second: 978.947368, Best solution: 388808 found at 17s
Seconds: 19, Total Iterations: 18700, Iteration per second: 984.210526, Best solution: 388808 found at 17s
Seconds: 19, Total Iterations: 18800, Iteration per second: 989.473684, Best solution: 388808 found at 17s
Seconds: 19, Total Iterations: 18900, Iteration per second: 994.736842, Best solution: 388808 found at 17s
Seconds: 19, Total Iterations: 19000, Iteration per second: 1000.000000, Best solution: 388808 found at 17s
Seconds: 19, Total Iterations: 19100, Iteration per second: 1005.263158, Best solution: 388808 found at 17s
Seconds: 19, Total Iterations: 19200, Iteration per second: 1010.526316, Best solution: 388808 found at 17s
Seconds: 19, Total Iterations: 19300, Iteration per second: 1015.789474, Best solution: 388808 found at 17s
Seconds: 19, Total Iterations: 19400, Iteration per second: 1021.052632, Best solution: 388808 found at 17s
Seconds: 19, Total Iterations: 19500, Iteration per second: 1026.315789, Best solution: 388808 found at 17s
Seconds: 19, Total Iterations: 19600, Iteration per second: 1031.578947, Best solution: 388808 found at 17s
Seconds: 20, Total Iterations: 19700, Iteration per second: 985.000000, Best solution: 388808 found at 17s
Seconds: 20, Total Iterations: 19800, Iteration per second: 990.000000, Best solution: 388808 found at 17s
Seconds: 20, Total Iterations: 19900, Iteration per second: 995.000000, Best solution: 388808 found at 17s
Seconds: 20, Total Iterations: 20000, Iteration per second: 1000.000000, Best solution: 388808 found at 17s
Seconds: 20, Total Iterations: 20100, Iteration per second: 1005.000000, Best solution: 388808 found at 17s
Seconds: 20, Total Iterations: 20200, Iteration per second: 1010.000000, Best solution: 388808 found at 17s
Seconds: 20, Total Iterations: 20300, Iteration per second: 1015.000000, Best solution: 388808 found at 17s
Seconds: 20, Total Iterations: 20400, Iteration per second: 1020.000000, Best solution: 388808 found at 17s
Seconds: 20, Total Iterations: 20500, Iteration per second: 1025.000000, Best solution: 388808 found at 17s
Seconds: 20, Total Iterations: 20600, Iteration per second: 1030.000000, Best solution: 388808 found at 17s
Seconds: 20, Total Iterations: 20700, Iteration per second: 1035.000000, Best solution: 388808 found at 17s
Seconds: 20, Total Iterations: 20800, Iteration per second: 1040.000000, Best solution: 388808 found at 17s
Seconds: 21, Total Iterations: 20900, Iteration per second: 995.238095, Best solution: 388808 found at 17s
Seconds: 21, Total Iterations: 21000, Iteration per second: 1000.000000, Best solution: 388808 found at 17s
Seconds: 21, Total Iterations: 21100, Iteration per second: 1004.761905, Best solution: 388808 found at 17s
Seconds: 21, Total Iterations: 21200, Iteration per second: 1009.523810, Best solution: 388808 found at 17s
Seconds: 21, Total Iterations: 21300, Iteration per second: 1014.285714, Best solution: 388808 found at 17s
Seconds: 21, Total Iterations: 21400, Iteration per second: 1019.047619, Best solution: 388808 found at 17s
Seconds: 21, Total Iterations: 21500, Iteration per second: 1023.809524, Best solution: 388808 found at 17s
Seconds: 21, Total Iterations: 21600, Iteration per second: 1028.571429, Best solution: 388808 found at 17s
Seconds: 21, Total Iterations: 21700, Iteration per second: 1033.333333, Best solution: 388808 found at 17s
Seconds: 21, Total Iterations: 21800, Iteration per second: 1038.095238, Best solution: 388808 found at 17s
Seconds: 21, Total Iterations: 21900, Iteration per second: 1042.857143, Best solution: 388808 found at 17s
Seconds: 22, Total Iterations: 22000, Iteration per second: 1000.000000, Best solution: 388808 found at 17s
Seconds: 22, Total Iterations: 22100, Iteration per second: 1004.545455, Best solution: 388808 found at 17s
Seconds: 22, Total Iterations: 22200, Iteration per second: 1009.090909, Best solution: 388808 found at 17s
Seconds: 22, Total Iterations: 22300, Iteration per second: 1013.636364, Best solution: 388808 found at 17s
Seconds: 22, Total Iterations: 22400, Iteration per second: 1018.181818, Best solution: 388808 found at 17s
Seconds: 22, Total Iterations: 22500, Iteration per second: 1022.727273, Best solution: 388808 found at 17s
Seconds: 22, Total Iterations: 22600, Iteration per second: 1027.272727, Best solution: 388808 found at 17s
Seconds: 22, Total Iterations: 22700, Iteration per second: 1031.818182, Best solution: 388808 found at 17s
Seconds: 22, Total Iterations: 22800, Iteration per second: 1036.363636, Best solution: 388808 found at 17s
Seconds: 22, Total Iterations: 22900, Iteration per second: 1040.909091, Best solution: 388808 found at 17s
Seconds: 22, Total Iterations: 23000, Iteration per second: 1045.454545, Best solution: 388808 found at 17s
Seconds: 23, Total Iterations: 23100, Iteration per second: 1004.347826, Best solution: 388808 found at 17s
Seconds: 23, Total Iterations: 23200, Iteration per second: 1008.695652, Best solution: 388808 found at 17s
Seconds: 23, Total Iterations: 23300, Iteration per second: 1013.043478, Best solution: 388808 found at 17s
Seconds: 23, Total Iterations: 23400, Iteration per second: 1017.391304, Best solution: 388808 found at 17s
Seconds: 23, Total Iterations: 23500, Iteration per second: 1021.739130, Best solution: 388808 found at 17s
Seconds: 23, Total Iterations: 23600, Iteration per second: 1026.086957, Best solution: 388808 found at 17s
Seconds: 23, Total Iterations: 23700, Iteration per second: 1030.434783, Best solution: 388808 found at 17s
Seconds: 23, Total Iterations: 23800, Iteration per second: 1034.782609, Best solution: 388808 found at 17s
Seconds: 23, Total Iterations: 23900, Iteration per second: 1039.130435, Best solution: 388808 found at 17s
Seconds: 23, Total Iterations: 24000, Iteration per second: 1043.478261, Best solution: 388808 found at 17s
Seconds: 23, Total Iterations: 24100, Iteration per second: 1047.826087, Best solution: 388808 found at 17s
Seconds: 24, Total Iterations: 24200, Iteration per second: 1008.333333, Best solution: 388808 found at 17s
Seconds: 24, Total Iterations: 24300, Iteration per second: 1012.500000, Best solution: 388808 found at 17s
Seconds: 24, Total Iterations: 24400, Iteration per second: 1016.666667, Best solution: 388808 found at 17s
Seconds: 24, Total Iterations: 24500, Iteration per second: 1020.833333, Best solution: 388808 found at 17s
Seconds: 24, Total Iterations: 24600, Iteration per second: 1025.000000, Best solution: 388808 found at 17s
Seconds: 24, Total Iterations: 24700, Iteration per second: 1029.166667, Best solution: 388808 found at 17s
Seconds: 24, Total Iterations: 24800, Iteration per second: 1033.333333, Best solution: 388808 found at 17s
Seconds: 24, Total Iterations: 24900, Iteration per second: 1037.500000, Best solution: 388808 found at 17s
Seconds: 24, Total Iterations: 25000, Iteration per second: 1041.666667, Best solution: 388808 found at 17s
Seconds: 24, Total Iterations: 25100, Iteration per second: 1045.833333, Best solution: 388808 found at 17s
Seconds: 24, Total Iterations: 25200, Iteration per second: 1050.000000, Best solution: 388808 found at 17s
Seconds: 24, Total Iterations: 25300, Iteration per second: 1054.166667, Best solution: 388808 found at 17s
Seconds: 25, Total Iterations: 25400, Iteration per second: 1016.000000, Best solution: 388808 found at 17s
Seconds: 25, Total Iterations: 25500, Iteration per second: 1020.000000, Best solution: 388808 found at 17s
Seconds: 25, Total Iterations: 25600, Iteration per second: 1024.000000, Best solution: 388808 found at 17s
Seconds: 25, Total Iterations: 25700, Iteration per second: 1028.000000, Best solution: 388808 found at 17s
Seconds: 25, Total Iterations: 25800, Iteration per second: 1032.000000, Best solution: 388808 found at 17s
Seconds: 25, Total Iterations: 25900, Iteration per second: 1036.000000, Best solution: 388808 found at 17s
Seconds: 25, Total Iterations: 26000, Iteration per second: 1040.000000, Best solution: 388808 found at 17s
Seconds: 25, Total Iterations: 26100, Iteration per second: 1044.000000, Best solution: 388808 found at 17s
Seconds: 25, Total Iterations: 26200, Iteration per second: 1048.000000, Best solution: 388808 found at 17s
Seconds: 25, Total Iterations: 26300, Iteration per second: 1052.000000, Best solution: 388808 found at 17s
Seconds: 25, Total Iterations: 26400, Iteration per second: 1056.000000, Best solution: 388808 found at 17s
Seconds: 26, Total Iterations: 26500, Iteration per second: 1019.230769, Best solution: 388808 found at 17s
Seconds: 26, Total Iterations: 26600, Iteration per second: 1023.076923, Best solution: 388808 found at 17s
Seconds: 26, Total Iterations: 26700, Iteration per second: 1026.923077, Best solution: 388808 found at 17s
Seconds: 26, Total Iterations: 26800, Iteration per second: 1030.769231, Best solution: 388808 found at 17s
Seconds: 26, Total Iterations: 26900, Iteration per second: 1034.615385, Best solution: 388808 found at 17s
Seconds: 26, Total Iterations: 27000, Iteration per second: 1038.461538, Best solution: 388808 found at 17s
Seconds: 26, Total Iterations: 27100, Iteration per second: 1042.307692, Best solution: 388808 found at 17s
Seconds: 26, Total Iterations: 27200, Iteration per second: 1046.153846, Best solution: 388808 found at 17s
Seconds: 26, Total Iterations: 27300, Iteration per second: 1050.000000, Best solution: 388808 found at 17s
Seconds: 26, Total Iterations: 27400, Iteration per second: 1053.846154, Best solution: 388808 found at 17s
Seconds: 26, Total Iterations: 27500, Iteration per second: 1057.692308, Best solution: 388808 found at 17s
Seconds: 26, Total Iterations: 27600, Iteration per second: 1061.538462, Best solution: 388808 found at 17s
Seconds: 27, Total Iterations: 27700, Iteration per second: 1025.925926, Best solution: 388808 found at 17s
Seconds: 27, Total Iterations: 27800, Iteration per second: 1029.629630, Best solution: 388808 found at 17s
Seconds: 27, Total Iterations: 27900, Iteration per second: 1033.333333, Best solution: 388808 found at 17s
Seconds: 27, Total Iterations: 28000, Iteration per second: 1037.037037, Best solution: 388808 found at 17s
Seconds: 27, Total Iterations: 28100, Iteration per second: 1040.740741, Best solution: 388808 found at 17s
Seconds: 27, Total Iterations: 28200, Iteration per second: 1044.444444, Best solution: 388808 found at 17s
Seconds: 27, Total Iterations: 28300, Iteration per second: 1048.148148, Best solution: 388808 found at 17s
Seconds: 27, Total Iterations: 28400, Iteration per second: 1051.851852, Best solution: 388808 found at 17s
Seconds: 27, Total Iterations: 28500, Iteration per second: 1055.555556, Best solution: 388808 found at 17s
Seconds: 27, Total Iterations: 28600, Iteration per second: 1059.259259, Best solution: 388808 found at 17s
Seconds: 27, Total Iterations: 28700, Iteration per second: 1062.962963, Best solution: 388808 found at 17s
Seconds: 28, Total Iterations: 28800, Iteration per second: 1028.571429, Best solution: 388808 found at 17s
Seconds: 28, Total Iterations: 28900, Iteration per second: 1032.142857, Best solution: 388808 found at 17s
Seconds: 28, Total Iterations: 29000, Iteration per second: 1035.714286, Best solution: 388808 found at 17s
Seconds: 28, Total Iterations: 29100, Iteration per second: 1039.285714, Best solution: 388808 found at 17s
Seconds: 28, Total Iterations: 29200, Iteration per second: 1042.857143, Best solution: 388808 found at 17s
Seconds: 28, Total Iterations: 29300, Iteration per second: 1046.428571, Best solution: 388808 found at 17s
